student,kokugo,shakai,sugaku,rika,ongaku,bijutu,taiiku,gika,eigo
181001,30,43,51,63,60,66,37,44,20
181002,39,21,49,56,70,72,56,63,16
181003,29,30,23,57,69,76,33,54,6
181004,95,87,77,100,77,82,78,96,87
181005,70,71,78,67,72,82,46,63,44
181006,67,53,56,61,61,76,70,66,40
181007,29,26,44,52,37,68,33,43,13
181008,56,54,37,59,35,64,53,67,7
181009,45,21,7,44,16,52,34,46,3
181010,68,41,29,81,55,71,29,72,51
181011,50,43,80,73,35,50,42,65,10
181012,70,61,61,71,55,56,35,67,33
181013,46,37,36,56,27,70,36,45,26
181014,23,24,20,36,13,44,45,48,10
181015,77,54,58,84,57,77,58,88,57
181016,15,8,22,29,29,15,2,17,4
181017,37,23,23,32,13,58,9,55,10
181018,55,42,85,86,89,77,55,68,80
181019,0,5,0,24,14,45,18,6,5
181020,35,48,24,42,18,44,23,39,10
181021,60,80,64,72,54,59,37,57,64
181022,70,52,75,60,51,74,30,70,74
181023,82,84,86,88,60,70,45,99,88
181024,44,22,18,13,25,46,11,22,3
181025,54,14,33,43,12,52,19,61,15
181026,80,63,59,73,60,81,42,68,82
181027,46,47,72,56,34,71,23,46,49
181028,48,63,72,83,64,62,56,52,67
181029,51,41,63,60,75,41,45,41,42
181030,37,18,38,51,47,51,26,35,1
181031,31,29,28,36,30,32,30,7,21
181032,35,52,40,65,49,54,37,33,45
181033,50,41,50,64,60,67,33,60,36
181034,33,28,65,43,30,62,38,33,20
181035,27,20,17,29,10,43,16,58,0
181036,36,27,62,58,41,76,49,49,66
181037,77,70,91,72,35,53,36,49,70
181038,61,49,71,71,67,86,62,52,71
181039,84,90,87,100,93,75,54,100,90
181040,78,43,59,55,61,57,46,44,71
181041,7,17,18,27,9,45,12,18,3
181042,57,32,36,55,50,68,19,38,15
181043,60,60,85,66,35,59,7,52,41
181044,17,19,25,28,9,78,20,9,0
181045,82,86,75,84,74,69,55,61,61
181046,37,36,45,41,30,77,40,40,42
181047,40,27,35,45,10,44,19,62,2
181048,72,73,94,96,77,69,39,74,99
181049,74,63,79,69,52,84,45,50,45
181050,87,85,84,93,83,79,75,73,77
181051,66,34,57,50,49,87,46,51,27
181052,90,68,64,78,71,86,32,68,66
181053,43,19,29,35,23,42,19,31,12
181054,24,15,1,17,13,39,25,11,0
181055,41,34,28,43,27,53,55,55,18
181056,42,16,29,43,38,56,58,90,2
181057,33,23,48,53,56,79,32,20,6
181058,29,15,20,21,3,24,10,4,0
181059,83,83,58,71,96,78,53,84,92
181060,73,81,94,85,85,98,50,69,95
181061,66,23,78,41,36,41,34,33,86
181062,71,38,80,61,36,54,48,55,84
181063,62,57,91,83,73,66,25,61,78
181064,47,51,69,80,52,71,31,65,40
181065,53,33,50,38,14,50,17,51,69
181066,61,33,50,49,37,62,32,34,48
181067,21,20,39,21,38,38,34,10,7
181068,74,66,65,78,49,81,50,77,76
181069,72,68,42,66,31,53,10,74,84
181070,50,44,47,56,46,71,40,57,75
181071,5,27,29,24,20,34,11,18,1
181072,32,28,14,43,25,35,25,61,23
181073,23,25,26,34,18,55,14,37,8
181074,34,20,23,30,11,35,9,55,6
181075,70,87,84,88,67,53,35,69,91
181076,9,25,23,33,38,49,16,17,9
181077,61,37,39,55,45,70,37,74,24
181078,34,40,36,33,45,58,30,45,67
181079,38,31,33,31,33,49,11,35,21
181080,72,41,36,44,27,83,96,37,31
181081,32,28,32,41,30,66,96,21,10
181082,52,29,32,36,19,58,65,59,27
181083,96,76,90,77,62,95,86,75,91
181084,58,31,46,46,48,75,61,45,16
181085,35,23,17,38,32,59,76,47,36
181086,40,38,7,21,20,52,62,36,23
181087,48,23,41,40,36,69,81,25,23
181088,46,53,34,30,39,72,76,26,27
181089,32,21,24,28,25,46,65,27,1
181090,50,28,29,31,39,67,78,13,7
181091,76,63,74,72,48,86,76,73,72
181092,64,40,30,49,36,73,91,80,41
181093,62,43,14,48,60,72,86,44,15
181094,76,42,58,51,54,80,87,32,39
181095,81,50,61,63,81,99,93,35,49
181096,69,49,30,34,44,76,76,78,40
181097,89,83,73,81,60,84,95,51,68
181098,27,29,34,40,29,69,78,23,40
181099,39,24,26,24,7,61,87,39,15
181100,62,39,42,40,38,65,87,55,34
181101,73,74,74,61,76,75,89,72,78
181102,49,18,27,20,26,65,77,32,28
181103,35,18,28,25,27,56,69,27,4
181104,36,4,15,43,21,54,78,20,32
181105,16,16,25,22,2,59,74,11,40
181106,60,48,67,29,52,46,85,30,54
181107,74,60,57,78,34,74,78,92,71
181108,22,9,6,26,2,31,63,11,1
181109,47,21,26,25,10,64,88,33,23
181110,43,32,74,55,56,43,76,49,39
181111,84,51,76,84,78,97,83,44,95
181112,65,43,38,70,63,54,82,70,26
181113,49,26,62,50,20,55,75,33,82
181114,31,14,8,16,7,24,57,29,2
181115,83,54,44,45,45,88,85,78,81
181116,87,86,77,78,85,80,89,76,76
181117,68,59,60,63,61,80,97,66,63
181118,68,53,41,57,47,65,97,77,71
181119,28,4,37,29,42,46,74,47,14
181120,42,29,33,48,43,82,86,85,38
181121,42,31,47,44,28,73,79,45,32
181122,70,57,60,61,46,67,76,52,76
181123,58,62,40,66,50,84,96,55,46
181124,57,40,43,28,57,65,83,31,32
181125,8,12,0,20,6,20,43,5,1
181126,44,32,31,28,26,55,82,21,37
181127,65,43,36,49,42,85,86,43,30
181128,81,53,78,81,80,76,96,51,80
181129,57,53,75,58,76,84,70,59,69
181130,64,36,20,31,53,68,99,7,26
181131,86,62,78,54,69,96,82,79,64
181132,34,27,48,52,57,59,89,38,39
181133,84,57,45,64,58,71,83,50,79
181134,4,9,5,11,19,18,37,4,4
181135,23,9,5,26,15,37,70,13,3
181136,66,43,54,72,54,69,78,72,53
181137,53,23,28,30,40,68,64,50,18
181138,70,41,44,34,16,56,69,27,6
181139,78,53,45,54,55,80,86,32,45
181140,39,19,5,32,15,32,58,23,10
181141,74,62,44,58,63,78,84,74,66
181142,33,33,32,42,47,67,88,53,11
181143,43,24,29,47,32,42,67,46,18
181144,54,21,43,28,44,66,77,18,14
181145,26,15,13,19,8,54,77,54,8
181146,58,17,34,19,39,59,85,24,14
181147,29,15,37,19,6,41,48,23,12
181148,73,60,59,54,70,74,84,73,65
181149,59,25,45,48,37,52,75,67,32
181150,58,17,31,23,24,76,91,52,25
181151,70,56,76,62,67,80,86,61,88
181152,19,12,9,28,10,48,62,19,5
181153,29,21,26,30,10,42,59,24,6
181154,32,7,14,18,10,54,53,19,7
181155,77,64,87,71,85,78,91,82,71
181156,91,69,100,83,96,74,91,74,91
181157,50,31,53,44,50,75,88,49,58
181158,63,32,43,52,43,55,93,31,56
181159,42,16,27,22,11,40,91,20,20
181160,68,28,60,69,53,55,95,49,36
181161,70,23,43,50,34,67,71,32,46
181162,82,78,80,88,80,69,83,78,90
181163,0,8,2,9,5,18,42,2,1
181164,45,26,29,24,31,57,68,40,27
181165,73,31,43,32,59,64,82,48,56
181166,60,85,89,80,56,79,81,45,85